"Season","League","BBRef_Team_Name","BBRef_Team_Abbreviation","Current_BBRef_Team_Name","Current_BBRef_Team_Abbreviation","ESPN_Current_Link_ID","NBA_Current_Link_ID","Spotrac_Current_Link_ID"
2004,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2003,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2002,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2001,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2000,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1999,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1998,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1997,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1996,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1995,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1994,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1993,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1992,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1991,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1990,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1989,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1988,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1987,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1986,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1985,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1984,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1983,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1982,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1981,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1980,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1979,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1978,"NBA","New Orleans Jazz","NOJ","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1977,"NBA","New Orleans Jazz","NOJ","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1976,"NBA","New Orleans Jazz","NOJ","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1975,"NBA","New Orleans Jazz","NOJ","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
1974,"NBA","New Orleans Jazz","NOJ","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2019,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2018,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2017,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2016,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2015,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2014,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2013,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2012,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2011,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2010,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2009,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2008,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2007,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2006,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2005,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2004,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2003,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2002,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2001,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
2000,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1999,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1998,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1997,"NBA","Washington Wizards","WAS","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1996,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1995,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1994,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1993,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1992,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1991,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1990,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1989,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1988,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1987,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1986,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1985,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1984,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1983,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1982,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1981,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1980,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1979,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1978,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1977,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1976,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1975,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1974,"NBA","Washington Bullets","WSB","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1973,"NBA","Capital Bullets","CAP","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1972,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1971,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1970,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1969,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1968,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1967,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1966,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1965,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1964,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1963,"NBA","Baltimore Bullets","BAL","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1962,"NBA","Chicago Zephyrs","CHZ","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
1961,"NBA","Chicago Packers","CHP","Washington Wizards","WAS","WSH",1610612764,"washington-wizards"
